"All Employer-Insured Plans, Drug Claims Only",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Marketscan Continuance Table, 2009 Continuously Enrolled Beneficiaries",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Up To,Number of Enrollees,Avg. Cost per Enrollee (Max'd),Avg. Cost per Enrollee (Bucket),Generics,Avg. Generics Prescriptions,Preferred Brand,Avg. Pref. Brand Prescriptions,Non-Preferred Brand,Avg. Non-Pref. Brand Prescriptions,Specialty High-Cost,Avg. Spec. Prescriptions,Chronic Maintenance,Avg. Chronic Maintenance Prescriptions,Unclassified,Avg. Unclassified Prescriptions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"$40,000",804 ,"$1,297.37","$37,426.39",$255.86,6.36,$461.26,2.26,$288.30,1.06,$157.82,0.13,$607.25,6.081,216682668%,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"$45,000",791 ,"$1,305.43","$42,355.38",$256.73,6.37,$470.35,2.27,$291.99,1.07,$169.26,0.14,$610.47,6.086,216682668%,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"$50,000",469 ,"$1,310.92","$47,375.73",$257.71,6.38,$475.75,2.28,$294.34,1.07,$176.51,0.14,$613.87,6.091,216682668%,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"$100,000","1,005 ","$1,329.02","$64,073.57",$261.31,6.40,$488.77,2.28,$301.98,1.07,$195.08,0.14,$619.93,6.101,216682668%,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"$200,000",145 ,"$1,335.37","$127,809.13",$262.80,6.40,$492.00,2.29,$305.18,1.07,$199.37,0.14,$620.84,6.102,216682668%,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"$300,000",23 ,"$1,337.57","$238,902.87",$263.22,6.40,$493.16,2.29,$305.63,1.07,$200.86,0.14,$620.96,6.102,216682668%,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"$400,000",13 ,"$1,338.50","$336,743.62",$263.73,6.40,$493.32,2.29,$307.10,1.07,$201.67,0.14,$621.09,6.103,216682668%,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"$500,000",2 ,"$1,338.80","$407,099.07",$263.73,6.40,$494.43,2.29,$307.10,1.07,$201.67,0.14,$621.10,6.103,216682668%,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"$1,000,000",2 ,"$1,339.27","$658,887.61",$263.73,6.40,$494.42,2.29,$308.99,1.07,$201.67,0.14,$621.10,6.103,216682668%,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"$2,000,000",0 ,"$1,339.27",.,$263.73,6.40,$494.42,2.29,$308.99,1.07,$201.67,0.14,$621.10,6.103,216682668%,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Unlimited,0 ,"$1,339.27",.,$263.73,6.40,$494.42,2.29,$308.99,1.07,$201.67,0.14,$621.10,6.103,216682668%,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
